pin,type,bank,glb,mc,oe,clk
A1,io,0,0,4,,
A2,io,0,0,3,,
A3,io,0,0,2,,
A4,io,0,0,1,,
A5,clock,0,0,,,0
A6,io,1,1,15,1,
A7,io,1,1,12,,
A8,no_connect,,,,,
A9,vcc_core,,,,,
A10,tdo,,,,,
B1,tdi,,,,,
B10,no_connect,,,,,
C1,io,0,0,6,,
C3,io,0,0,5,,
C4,io,0,0,0,0,
C5,clock,1,1,,,3
C6,io,1,1,14,,
C7,io,1,1,13,,
C8,gnd,,,,,
C10,io,1,1,11,,
D1,io,0,0,7,,
D3,gnd,,,,,
D8,io,1,1,9,,
D10,io,1,1,10,,
E1,no_connect,,,,,
E3,no_connect,,,,,
E8,vcco,1,,,,
E10,io,1,1,8,,
F1,io,0,0,8,,
F3,vcco,0,,,,
F8,no_connect,,,,,
F10,no_connect,,,,,
G1,io,0,0,10,,
G3,io,0,0,9,,
G8,gnd,,,,,
G10,io,1,1,7,,
H1,io,0,0,11,,
H3,gnd,,,,,
H4,io,0,0,13,,
H5,io,0,0,14,,
H6,clock,0,0,,,1
H7,io,1,1,0,,
H8,io,1,1,5,,
H10,io,1,1,6,,
J1,no_connect,,,,,
J10,tms,,,,,
K1,tck,,,,,
K2,vcc_core,,,,,
K3,no_connect,,,,,
K4,io,0,0,12,,
K5,io,0,0,15,,
K6,clock,1,1,,,2
K7,io,1,1,1,,
K8,io,1,1,2,,
K9,io,1,1,3,,
K10,io,1,1,4,,
