pin,type,bank,glb,mc,oe,clk
B4,io,0,0,0,0,
B3,io,0,0,1,,
C2,io,0,0,6,,
C1,io,0,0,7,,
C3,no_connect,,,,,
A3,io,0,0,2,,
A2,io,0,0,3,,
A1,io,0,0,4,,
B1,io,0,0,5,,
H4,io,0,0,15,,
E2,no_connect,,,,,
F1,io,0,0,11,,
D3,io,0,0,10,,
E1,io,0,0,9,,
D2,no_connect,,,,,
D1,io,0,0,8,,
F3,no_connect,,,,,
G3,io,0,0,14,,
H3,io,0,0,13,,
H2,no_connect,,,,,
G2,io,0,0,12,,
F2,no_connect,,,,,
G1,no_connect,,,,,
F5,io,1,1,0,,
G5,io,1,1,1,,
F7,io,1,1,6,,
G8,io,1,1,7,,
F8,no_connect,,,,,
G6,io,1,1,2,,
H6,io,1,1,3,,
F6,io,1,1,4,,
H7,no_connect,,,,,
G7,io,1,1,5,,
C4,clk,0,0,,,0
G4,clk,0,0,,,1
H5,clk,1,1,,,2
A4,clk,1,1,,,3
B5,io,1,1,15,1,
C5,no_connect,,,,,
D8,no_connect,,,,,
D7,io,1,1,10,,
E6,io,1,1,9,,
E7,no_connect,,,,,
E8,io,1,1,8,,
A5,no_connect,,,,,
B6,io,1,1,14,,
A6,io,1,1,13,,
B7,no_connect,,,,,
A7,no_connect,,,,,
A8,io,1,1,12,,
C8,no_connect,,,,,
C7,io,1,1,11,,
D4,gnd,,,,,
E5,gnd,,,,,
H1,tck,,,,,
B2,tdi,,,,,
B8,tdo,,,,,
H8,tms,,,,,
D5,vcc_core,,,,,
E4,vcc_core,,,,,
E3,vcco_bank_0,,,,,
F4,no_connect,,,,,
C6,no_connect,,,,,
D6,vcco_bank_1,,,,,
