pin,type,bank,glb,mc,oe,clk
1,gnd,,,,,
2,tdi,,,,,
3,io,0,0,8,,
4,io,0,0,9,,
5,io,0,0,10,,
6,io,0,0,11,,
7,gnd,,,,,
8,io,0,0,12,,
9,io,0,0,13,,
10,io,0,0,14,,
11,io,0,0,15,,
12,input,0,0,,,
13,vcco,0,,,,
14,io,0,1,15,,
15,io,0,1,14,,
16,io,0,1,13,,
17,io,0,1,12,,
18,gnd,,,,,
19,io,0,1,11,,
20,io,0,1,10,,
21,io,0,1,9,,
22,io,0,1,8,,
23,input,0,1,,,
24,tck,,,,,
25,vcc_core,,,,,
26,gnd,,,,,
27,input,0,1,,,
28,io,0,1,7,,
29,io,0,1,6,,
30,io,0,1,5,,
31,io,0,1,4,,
32,gnd,,,,,
33,vcco,0,,,,
34,io,0,1,3,,
35,io,0,1,2,,
36,io,0,1,1,,
37,io,0,1,0,,
38,clock,0,1,,,1
39,clock,1,2,,,2
40,vcc_core,,,,,
41,io,1,2,0,,
42,io,1,2,1,,
43,io,1,2,2,,
44,io,1,2,3,,
45,vcco,1,,,,
46,gnd,,,,,
47,io,1,2,4,,
48,io,1,2,5,,
49,io,1,2,6,,
50,io,1,2,7,,
51,gnd,,,,,
52,tms,,,,,
53,io,1,2,8,,
54,io,1,2,9,,
55,io,1,2,10,,
56,io,1,2,11,,
57,gnd,,,,,
58,io,1,2,12,,
59,io,1,2,13,,
60,io,1,2,14,,
61,io,1,2,15,,
62,input,1,2,,,
63,vcco,1,,,,
64,io,1,3,15,,
65,io,1,3,14,,
66,io,1,3,13,,
67,io,1,3,12,,
68,gnd,,,,,
69,io,1,3,11,,
70,io,1,3,10,,
71,io,1,3,9,,
72,io,1,3,8,,
73,input,1,3,,,
74,tdo,,,,,
75,vcc_core,,,,,
76,gnd,,,,,
77,input,1,3,,,
78,io,1,3,7,,
79,io,1,3,6,,
80,io,1,3,5,,
81,io,1,3,4,,
82,gnd,,,,,
83,vcco,1,,,,
84,io,1,3,3,,
85,io,1,3,2,,
86,io,1,3,1,,
87,io,1,3,0,1,
88,clock,1,3,,,3
89,clock,0,0,,,0
90,vcc_core,,,,,
91,io,0,0,0,0,
92,io,0,0,1,,
93,io,0,0,2,,
94,io,0,0,3,,
95,vcco,0,,,,
96,gnd,,,,,
97,io,0,0,4,,
98,io,0,0,5,,
99,io,0,0,6,,
100,io,0,0,7,,
