pin,type,bank,glb,mc,oe,clk
J10,clock,0,0,,,0
U8,clock,0,3,,,1
L10,clock,1,4,,,2
C12,clock,1,7,,,3
C8,io,0,0,0,0,
A13,io,0,0,1,,
C7,io,0,0,2,,
B8,io,0,0,4,,
C6,io,0,0,5,,
A12,io,0,0,6,,
A8,io,0,0,8,,
B6,io,0,0,9,,
A7,io,0,0,10,,
B3,io,0,0,12,,
A6,io,0,0,13,,
F1,io,0,0,14,,
C2,io,0,1,0,,
F3,io,0,1,1,,
G1,io,0,1,2,,
F2,io,0,1,4,,
G3,io,0,1,5,,
H1,io,0,1,6,,
H2,io,0,1,8,,
H3,io,0,1,9,,
M1,io,0,1,10,,
M2,io,0,1,12,,
N1,io,0,1,13,,
M3,io,0,1,14,,
W3,io,0,2,0,,
V3,io,0,2,1,,
U1,io,0,2,2,,
T3,io,0,2,4,,
U2,io,0,2,5,,
T1,io,0,2,6,,
R2,io,0,2,8,,
P3,io,0,2,9,,
R1,io,0,2,10,,
P2,io,0,2,12,,
P1,io,0,2,13,,
N3,io,0,2,14,,
W8,io,0,3,0,,
V8,io,0,3,1,,
W7,io,0,3,2,,
U7,io,0,3,4,,
V6,io,0,3,5,,
U6,io,0,3,6,,
W5,io,0,3,8,,
W6,io,0,3,9,,
U4,io,0,3,10,,
V5,io,0,3,12,,
W4,io,0,3,13,,
U3,io,0,3,14,,
U12,io,1,4,0,,
W12,io,1,4,1,,
U13,io,1,4,2,,
V12,io,1,4,4,,
U14,io,1,4,5,,
W13,io,1,4,6,,
W14,io,1,4,8,,
V14,io,1,4,9,,
V15,io,1,4,10,,
P17,io,1,4,12,,
R18,io,1,4,13,,
P19,io,1,4,14,,
V17,io,1,5,0,,
N17,io,1,5,1,,
M19,io,1,5,2,,
U18,io,1,5,4,,
M17,io,1,5,5,,
H19,io,1,5,6,,
P18,io,1,5,8,,
H17,io,1,5,9,,
G19,io,1,5,10,,
N19,io,1,5,12,,
F19,io,1,5,13,,
G17,io,1,5,14,,
B17,io,1,6,0,,
E18,io,1,6,1,,
C18,io,1,6,2,,
D17,io,1,6,4,,
F18,io,1,6,5,,
C19,io,1,6,6,,
H18,io,1,6,8,,
E17,io,1,6,9,,
D19,io,1,6,10,,
M18,io,1,6,12,,
E19,io,1,6,13,,
F17,io,1,6,14,,
A14,io,1,7,0,1,
B12,io,1,7,1,,
A15,io,1,7,2,,
C13,io,1,7,4,,
B14,io,1,7,5,,
C14,io,1,7,6,,
B15,io,1,7,8,,
A16,io,1,7,9,,
C15,io,1,7,10,,
C17,io,1,7,12,,
A17,io,1,7,13,,
C16,io,1,7,14,,
D2,tck,,,,,
E3,tdi,,,,,
C5,tdo,,,,,
B4,tms,,,,,
U17,vcc_core,,,,,
U15,vcc_core,,,,,
U16,vcc_core,,,,,
T17,vcc_core,,,,,
R17,vcc_core,,,,,
C10,vcco,0,,,,
K3,vcco,0,,,,
K4,vcco,0,,,,
T10,vcco,0,,,,
J9,vcco,0,,,,
K9,vcco,0,,,,
D10,vcco,1,,,,
K17,vcco,1,,,,
K16,vcco,1,,,,
U10,vcco,1,,,,
K11,vcco,1,,,,
L11,vcco,1,,,,
J11,gnd,,,,,
K10,gnd,,,,,
L9,gnd,,,,,
B10,gnd,,,,,
V10,gnd,,,,,
K2,gnd,,,,,
K18,gnd,,,,,
C4,gnd,,,,,
C3,gnd,,,,,
D4,gnd,,,,,
D3,gnd,,,,,
G2,gnd,,,,,
N2,gnd,,,,,
V7,gnd,,,,,
V13,gnd,,,,,
T16,gnd,,,,,
T18,gnd,,,,,
V16,gnd,,,,,
N18,gnd,,,,,
G18,gnd,,,,,
B13,gnd,,,,,
B7,gnd,,,,,
T2,gnd,,,,,
V4,gnd,,,,,
B16,gnd,,,,,
D18,gnd,,,,,
R3,gnd,,,,,
U5,gnd,,,,,
