pin,type,bank,glb,mc,oe,clk
1,gnd,,,,,
2,tdi,,,,,
3,io,0,1,0,,
4,io,0,1,2,,
5,io,0,1,4,,
6,io,0,1,6,,
7,gndo,0,,,,
8,io,0,1,8,,
9,io,0,1,10,,
10,io,0,1,12,,
11,io,0,1,13,,
12,input,0,1,,,
13,vcco,0,,,,
14,io,0,2,14,,
15,io,0,2,12,,
16,io,0,2,10,,
17,io,0,2,8,,
18,gndo,0,,,,
19,io,0,2,6,,
20,io,0,2,5,,
21,io,0,2,4,,
22,io,0,2,2,,
23,input,0,2,,,
24,tck,,,,,
25,vcc_core,,,,,
26,gnd,,,,,
27,input,0,3,,,
28,io,0,3,13,,
29,io,0,3,12,,
30,io,0,3,10,,
31,io,0,3,8,,
32,gndo,0,,,,
33,vcco,0,,,,
34,io,0,3,6,,
35,io,0,3,4,,
36,io,0,3,2,,
37,io,0,3,0,,
38,clock,0,3,,,1
39,clock,1,4,,,2
40,vcc_core,,,,,
41,io,1,4,0,,
42,io,1,4,2,,
43,io,1,4,4,,
44,io,1,4,6,,
45,vcco,1,,,,
46,gndo,1,,,,
47,io,1,4,8,,
48,io,1,4,10,,
49,io,1,4,12,,
50,io,1,4,14,,
51,gnd,,,,,
52,tms,,,,,
53,io,1,5,0,,
54,io,1,5,2,,
55,io,1,5,4,,
56,io,1,5,6,,
57,gndo,1,,,,
58,io,1,5,8,,
59,io,1,5,10,,
60,io,1,5,12,,
61,io,1,5,13,,
62,input,1,5,,,
63,vcco,1,,,,
64,io,1,6,14,,
65,io,1,6,12,,
66,io,1,6,10,,
67,io,1,6,8,,
68,gndo,1,,,,
69,io,1,6,6,,
70,io,1,6,5,,
71,io,1,6,4,,
72,io,1,6,2,,
73,input,1,6,,,
74,tdo,,,,,
75,vcc_core,,,,,
76,gnd,,,,,
77,input,1,7,,,
78,io,1,7,13,,
79,io,1,7,12,,
80,io,1,7,10,,
81,io,1,7,8,,
82,gndo,1,,,,
83,vcco,1,,,,
84,io,1,7,6,,
85,io,1,7,4,,
86,io,1,7,2,,
87,io,1,7,0,1,
88,clock,1,7,,,3
89,clock,0,0,,,0
90,vcc_core,,,,,
91,io,0,0,0,0,
92,io,0,0,2,,
93,io,0,0,4,,
94,io,0,0,6,,
95,vcco,0,,,,
96,gndo,0,,,,
97,io,0,0,8,,
98,io,0,0,10,,
99,io,0,0,12,,
100,io,0,0,14,,
