pin,type,bank,glb,mc,goe,clk
1,gnd,,,,,
2,tdi,,,,,
3,vcco_bank_0,,,,,
4,io,0,1,0,,
5,io,0,1,1,,
6,io,0,1,2,,
7,io,0,1,4,,
8,io,0,1,5,,
9,io,0,1,6,,
10,gnd,,,,,
11,io,0,1,8,,
12,io,0,1,9,,
13,io,0,1,10,,
14,io,0,1,12,,
15,io,0,1,13,,
16,io,0,1,14,,
17,no_connect,,,,,
18,gnd,,,,,
19,vcco_bank_0,,,,,
20,no_connect,,,,,
21,io,0,2,14,,
22,io,0,2,13,,
23,io,0,2,12,,
24,io,0,2,10,,
25,io,0,2,9,,
26,io,0,2,8,,
27,gnd,,,,,
28,io,0,2,6,,
29,io,0,2,5,,
30,io,0,2,4,,
31,io,0,2,2,,
32,io,0,2,1,,
33,io,0,2,0,,
34,vcco_bank_0,,,,,
35,tck,,,,,
36,vcc_core,,,,,
37,gnd,,,,,
38,no_connect,,,,,
39,io,0,3,14,,
40,io,0,3,13,,
41,io,0,3,12,,
42,io,0,3,10,,
43,io,0,3,9,,
44,io,0,3,8,,
45,no_connect,,,,,
46,gnd,,,,,
47,vcco_bank_0,,,,,
48,io,0,3,6,,
49,io,0,3,5,,
50,io,0,3,4,,
51,io,0,3,2,,
52,io,0,3,1,,
53,io,0,3,0,,
54,clk,0,3,,,1
55,gnd,,,,,
56,clk,1,4,,,2
57,vcc_core,,,,,
58,io,1,4,0,,
59,io,1,4,1,,
60,io,1,4,2,,
61,io,1,4,4,,
62,io,1,4,5,,
63,io,1,4,6,,
64,vcco_bank_1,,,,,
65,gnd,,,,,
66,io,1,4,8,,
67,io,1,4,9,,
68,io,1,4,10,,
69,io,1,4,12,,
70,io,1,4,13,,
71,io,1,4,14,,
72,no_connect,,,,,
73,gnd,,,,,
74,tms,,,,,
75,vcco_bank_1,,,,,
76,io,1,5,0,,
77,io,1,5,1,,
78,io,1,5,2,,
79,io,1,5,4,,
80,io,1,5,5,,
81,io,1,5,6,,
82,gnd,,,,,
83,io,1,5,8,,
84,io,1,5,9,,
85,io,1,5,10,,
86,io,1,5,12,,
87,io,1,5,13,,
88,io,1,5,14,,
89,no_connect,,,,,
90,gnd,,,,,
91,vcco_bank_1,,,,,
92,no_connect,,,,,
93,io,1,6,14,,
94,io,1,6,13,,
95,io,1,6,12,,
96,io,1,6,10,,
97,io,1,6,9,,
98,io,1,6,8,,
99,gnd,,,,,
100,io,1,6,6,,
101,io,1,6,5,,
102,io,1,6,4,,
103,io,1,6,2,,
104,io,1,6,1,,
105,io,1,6,0,,
106,vcco_bank_1,,,,,
107,tdo,,,,,
108,vcc_core,,,,,
109,gnd,,,,,
110,no_connect,,,,,
111,io,1,7,14,,
112,io,1,7,13,,
113,io,1,7,12,,
114,io,1,7,10,,
115,io,1,7,9,,
116,io,1,7,8,,
117,no_connect,,,,,
118,gnd,,,,,
119,vcco_bank_1,,,,,
120,io,1,7,6,,
121,io,1,7,5,,
122,io,1,7,4,,
123,io,1,7,2,,
124,io,1,7,1,,
125,io,1,7,0,1,
126,clk,1,7,,,3
127,gnd,,,,,
128,clk,0,0,,,0
129,vcc_core,,,,,
130,io,0,0,0,0,
131,io,0,0,1,,
132,io,0,0,2,,
133,io,0,0,4,,
134,io,0,0,5,,
135,io,0,0,6,,
136,vcco_bank_0,,,,,
137,gnd,,,,,
138,io,0,0,8,,
139,io,0,0,9,,
140,io,0,0,10,,
141,io,0,0,12,,
142,io,0,0,13,,
143,io,0,0,14,,
144,no_connect,,,,,
