pin,type,bank,glb,mc,oe,clk
A6,io,0,0,0,0,
C5,io,0,0,1,,
C3,io,0,0,10,,
B2,io,0,0,12,,
C2,io,0,0,13,,
A2,io,0,0,14,,
B4,io,0,0,2,,
A5,io,0,0,4,,
C4,io,0,0,5,,
D5,io,0,0,6,,
D4,io,0,0,8,,
A3,io,0,0,9,,
D3,io,0,1,0,,
C1,io,0,1,1,,
F4,io,0,1,10,,
G4,io,0,1,12,,
F2,io,0,1,13,,
G3,io,0,1,14,,
D2,io,0,1,2,,
D1,io,0,1,4,,
E4,io,0,1,5,,
F3,io,0,1,6,,
E1,io,0,1,8,,
E3,io,0,1,9,,
K1,io,0,2,0,,
K2,io,0,2,1,,
H3,io,0,2,10,,
G1,io,0,2,12,,
G2,io,0,2,13,,
F1,io,0,2,14,,
K3,io,0,2,2,,
J2,io,0,2,4,,
J1,io,0,2,5,,
J3,io,0,2,6,,
H1,io,0,2,8,,
J4,io,0,2,9,,
D6,clk,0,0,,,0
K7,clk,0,3,,,1
J7,clk,1,4,,,2
C6,clk,1,7,,,3
M6,io,0,3,0,,
L6,io,0,3,1,,
M3,io,0,3,10,,
K4,io,0,3,12,,
M2,io,0,3,13,,
L3,io,0,3,14,,
K6,io,0,3,2,,
J6,io,0,3,4,,
M5,io,0,3,5,,
L5,io,0,3,6,,
L4,io,0,3,8,,
K5,io,0,3,9,,
K8,io,1,4,0,,
L8,io,1,4,1,,
M10,io,1,4,10,,
L11,io,1,4,12,,
K12,io,1,4,13,,
M11,io,1,4,14,,
M8,io,1,4,2,,
J8,io,1,4,4,,
L9,io,1,4,5,,
M9,io,1,4,6,,
L10,io,1,4,8,,
K10,io,1,4,9,,
K11,io,1,5,0,,
J10,io,1,5,1,,
F9,io,1,5,10,,
G12,io,1,5,12,,
G11,io,1,5,13,,
G10,io,1,5,14,,
H9,io,1,5,2,,
J12,io,1,5,4,,
J11,io,1,5,5,,
H10,io,1,5,6,,
G9,io,1,5,8,,
H11,io,1,5,9,,
B11,io,1,6,0,,
C11,io,1,6,1,,
E10,io,1,6,10,,
E11,io,1,6,12,,
F11,io,1,6,13,,
F10,io,1,6,14,,
C10,io,1,6,2,,
C12,io,1,6,4,,
D11,io,1,6,5,,
D12,io,1,6,6,,
E12,io,1,6,8,,
D10,io,1,6,9,,
E5,gnd,,,,,
E8,gnd,,,,,
H5,gnd,,,,,
H8,gnd,,,,,
B3,gnd,,,,,
B7,gnd,,,,,
E2,gnd,,,,,
H2,gnd,,,,,
M4,gnd,,,,,
A9,gnd,,,,,
E9,gnd,,,,,
H12,gnd,,,,,
J9,gnd,,,,,
L7,gnd,,,,,
B6,io,1,7,0,1,
A7,io,1,7,1,,
C9,io,1,7,10,,
B10,io,1,7,12,,
A11,io,1,7,13,,
A10,io,1,7,14,,
A8,io,1,7,2,,
D7,io,1,7,4,,
B8,io,1,7,5,,
B9,io,1,7,6,,
C8,io,1,7,8,,
D8,io,1,7,9,,
L1,tck,,,,,
A1,tdi,,,,,
B12,tdo,,,,,
M12,tms,,,,,
A12,vcc_core,,,,,
B5,vcc_core,,,,,
M1,vcc_core,,,,,
M7,vcc_core,,,,,
A4,vcco_bank_0,,,,,
B1,vcco_bank_0,,,,,
H4,vcco_bank_0,,,,,
J5,vcco_bank_0,,,,,
L2,vcco_bank_0,,,,,
C7,vcco_bank_1,,,,,
D9,vcco_bank_1,,,,,
F12,vcco_bank_1,,,,,
K9,vcco_bank_1,,,,,
L12,vcco_bank_1,,,,,
