pin,type,bank,glb,mc,goe,clk
1,gnd,,,,,
2,tdi,,,,,
3,vcco_bank_0,,,,,
4,io,0,2,12,,
5,io,0,2,10,,
6,io,0,2,8,,
7,io,0,2,6,,
8,io,0,2,4,,
9,io,0,2,2,,
10,gnd,,,,,
11,io,0,3,14,,
12,io,0,3,12,,
13,io,0,3,10,,
14,io,0,3,8,,
15,io,0,3,6,,
16,io,0,3,4,,
17,in,0,3,,,
18,no_connect,,,,,
19,vcco_bank_0,,,,,
20,in,0,4,,,
21,io,0,4,2,,
22,io,0,4,4,,
23,io,0,4,6,,
24,io,0,4,8,,
25,io,0,4,10,,
26,io,0,4,12,,
27,gnd,,,,,
28,io,0,5,2,,
29,io,0,5,4,,
30,io,0,5,6,,
31,io,0,5,8,,
32,io,0,5,10,,
33,io,0,5,12,,
34,vcco_bank_0,,,,,
35,tck,,,,,
36,vcc_core,,,,,
37,gnd,,,,,
38,in,0,6,,,
39,io,0,6,12,,
40,io,0,6,10,,
41,io,0,6,8,,
42,io,0,6,6,,
43,io,0,6,4,,
44,io,0,6,2,,
45,in,0,6,,,
46,gnd,,,,,
47,vcco_bank_0,,,,,
48,io,0,7,12,,
49,io,0,7,10,,
50,io,0,7,8,,
51,io,0,7,6,,
52,io,0,7,4,,
53,io,0,7,2,,
54,clk,0,7,,,1
55,gnd,,,,,
56,clk,1,8,,,2
57,vcc_core,,,,,
58,io,1,8,2,,
59,io,1,8,4,,
60,io,1,8,6,,
61,io,1,8,8,,
62,io,1,8,10,,
63,io,1,8,12,,
64,vcco_bank_1,,,,,
65,gnd,,,,,
66,io,1,9,2,,
67,io,1,9,4,,
68,io,1,9,6,,
69,io,1,9,8,,
70,io,1,9,10,,
71,io,1,9,12,,
72,in,1,9,,,
73,gnd,,,,,
74,tms,,,,,
75,vcco_bank_1,,,,,
76,io,1,10,12,,
77,io,1,10,10,,
78,io,1,10,8,,
79,io,1,10,6,,
80,io,1,10,4,,
81,io,1,10,2,,
82,gnd,,,,,
83,io,1,11,14,,
84,io,1,11,12,,
85,io,1,11,10,,
86,io,1,11,8,,
87,io,1,11,6,,
88,io,1,11,4,,
89,in,1,11,,,
90,no_connect,,,,,
91,vcco_bank_1,,,,,
92,in,1,12,,,
93,io,1,12,2,,
94,io,1,12,4,,
95,io,1,12,6,,
96,io,1,12,8,,
97,io,1,12,10,,
98,io,1,12,12,,
99,gnd,,,,,
100,io,1,13,2,,
101,io,1,13,4,,
102,io,1,13,6,,
103,io,1,13,8,,
104,io,1,13,10,,
105,io,1,13,12,,
106,vcco_bank_1,,,,,
107,tdo,,,,,
108,vcc_core,,,,,
109,gnd,,,,,
110,in,1,14,,,
111,io,1,14,12,,
112,io,1,14,10,,
113,io,1,14,8,,
114,io,1,14,6,,
115,io,1,14,4,,
116,io,1,14,2,,
117,in,1,14,,,
118,gnd,,,,,
119,vcco_bank_1,,,,,
120,io,1,15,12,,
121,io,1,15,10,,
122,io,1,15,8,,
123,io,1,15,6,,
124,io,1,15,4,,
125,io,1,15,2,1,
126,clk,1,15,,,3
127,gnd,,,,,
128,clk,0,0,,,0
129,vcc_core,,,,,
130,io,0,0,2,0,
131,io,0,0,4,,
132,io,0,0,6,,
133,io,0,0,8,,
134,io,0,0,10,,
135,io,0,0,12,,
136,vcco_bank_0,,,,,
137,gnd,,,,,
138,io,0,1,2,,
139,io,0,1,4,,
140,io,0,1,6,,
141,io,0,1,8,,
142,io,0,1,10,,
143,io,0,1,12,,
144,in,0,1,,,
