pin,type,bank,glb,mc,goe,clk
B5,io,0,0,10,,
A5,io,0,0,12,,
D6,io,0,0,2,0,
B6,io,0,0,4,,
A6,io,0,0,6,,
C6,io,0,0,8,,
C4,io,0,1,10,,
B3,io,0,1,12,,
A2,io,0,1,14,,
A4,io,0,1,2,,
B4,io,0,1,4,,
C5,io,0,1,6,,
A3,io,0,1,8,,
B1,io,0,2,10,,
B2,io,0,2,12,,
D1,io,0,2,2,,
C1,io,0,2,4,,
C2,io,0,2,6,,
C3,io,0,2,8,,
A7,clk,0,0,,,0
L6,clk,0,7,,,1
M6,clk,1,8,,,2
C7,clk,1,15,,,3
F3,io,0,3,0,,
E1,io,0,3,10,,
D3,io,0,3,12,,
D2,io,0,3,14,,
F1,io,0,3,2,,
D4,io,0,3,4,,
F2,io,0,3,6,,
E2,io,0,3,8,,
G1,io,0,4,0,,
H3,io,0,4,10,,
H2,io,0,4,12,,
E3,io,0,4,2,,
G2,io,0,4,4,,
G3,io,0,4,6,,
H1,io,0,4,8,,
K2,io,0,5,10,,
L1,io,0,5,12,,
J1,io,0,5,2,,
J3,io,0,5,4,,
J2,io,0,5,6,,
K1,io,0,5,8,,
L4,io,0,6,0,,
M2,io,0,6,10,,
K3,io,0,6,12,,
M1,io,0,6,14,,
M3,io,0,6,2,,
K4,io,0,6,4,,
J4,io,0,6,6,,
L3,io,0,6,8,,
F06,gnd,,,,,
F07,gnd,,,,,
G06,gnd,,,,,
G07,gnd,,,,,
E6,gnd,,,,,
F05,gnd,,,,,
G05,gnd,,,,,
H04,gnd,,,,,
H06,gnd,,,,,
E07,gnd,,,,,
F08,gnd,,,,,
G08,gnd,,,,,
H7,gnd,,,,,
J09,gnd,,,,,
L5,io,0,7,10,,
M4,io,0,7,12,,
K6,io,0,7,2,,
M5,io,0,7,4,,
J6,io,0,7,6,,
K5,io,0,7,8,,
L8,io,1,8,10,,
M8,io,1,8,12,,
K7,io,1,8,2,,
M7,io,1,8,4,,
L7,io,1,8,6,,
J7,io,1,8,8,,
L10,io,1,9,10,,
K9,io,1,9,12,,
M11,io,1,9,14,,
M9,io,1,9,2,,
L9,io,1,9,4,,
K8,io,1,9,6,,
M10,io,1,9,8,,
L11,io,1,10,10,,
L12,io,1,10,12,,
K11,io,1,10,2,,
J10,io,1,10,4,,
K12,io,1,10,6,,
K10,io,1,10,8,,
G10,io,1,11,0,,
H10,io,1,11,10,,
J11,io,1,11,12,,
J12,io,1,11,14,,
G12,io,1,11,2,,
H11,io,1,11,4,,
G11,io,1,11,6,,
H12,io,1,11,8,,
F12,io,1,12,0,,
F10,io,1,12,10,,
D12,io,1,12,12,,
F11,io,1,12,2,,
E11,io,1,12,4,,
E12,io,1,12,6,,
D10,io,1,12,8,,
C11,io,1,13,10,,
B12,io,1,13,12,,
E10,io,1,13,2,,
D11,io,1,13,4,,
E9,io,1,13,6,,
C12,io,1,13,8,,
A10,io,1,14,0,,
B10,io,1,14,10,,
C10,io,1,14,12,,
A12,io,1,14,14,,
C9,io,1,14,2,,
B9,io,1,14,4,,
D9,io,1,14,6,,
A11,io,1,14,8,,
B8,io,1,15,10,,
A9,io,1,15,12,,
B7,io,1,15,2,1,
D7,io,1,15,4,,
A8,io,1,15,6,,
C8,io,1,15,8,,
L02,tck,,,,,
A01,tdi,,,,,
B11,tdo,,,,,
M12,tms,,,,,
E05,vcc_core,,,,,
E08,vcc_core,,,,,
H05,vcc_core,,,,,
H08,vcc_core,,,,,
D05,vcco_bank_0,,,,,
E4,vcco_bank_0,,,,,
F04,vcco_bank_0,,,,,
G4,vcco_bank_0,,,,,
J05,vcco_bank_0,,,,,
D08,vcco_bank_1,,,,,
F9,vcco_bank_1,,,,,
G09,vcco_bank_1,,,,,
H9,vcco_bank_1,,,,,
J08,vcco_bank_1,,,,,
