pin,type,bank,glb,mc,goe,clk
1,gnd,,,,,
2,tdi,,,,,
3,io,0,2,12,,
4,io,0,2,10,,
5,io,0,2,6,,
6,io,0,2,2,,
7,gnd,,,,,
8,io,0,3,12,,
9,io,0,3,10,,
10,io,0,3,6,,
11,io,0,3,4,,
12,in,0,3,,,
13,vcco_bank_0,,,,,
14,io,0,4,4,,
15,io,0,4,6,,
16,io,0,4,10,,
17,io,0,4,12,,
18,gnd,,,,,
19,io,0,5,2,,
20,io,0,5,6,,
21,io,0,5,10,,
22,io,0,5,12,,
23,in,0,5,,,
24,tck,,,,,
25,vcc_core,,,,,
26,gnd,,,,,
27,in,0,6,,,
28,io,0,6,12,,
29,io,0,6,10,,
30,io,0,6,6,,
31,io,0,6,2,,
32,gnd,,,,,
33,vcco_bank_0,,,,,
34,io,0,7,12,,
35,io,0,7,10,,
36,io,0,7,6,,
37,io,0,7,2,,
38,clk,0,7,,,1
39,clk,1,8,,,2
40,vcc_core,,,,,
41,io,1,8,2,,
42,io,1,8,6,,
43,io,1,8,10,,
44,io,1,8,12,,
45,vcco_bank_1,,,,,
46,gnd,,,,,
47,io,1,9,2,,
48,io,1,9,6,,
49,io,1,9,10,,
50,io,1,9,12,,
51,gnd,,,,,
52,tms,,,,,
53,io,1,10,12,,
54,io,1,10,10,,
55,io,1,10,6,,
56,io,1,10,2,,
57,gnd,,,,,
58,io,1,11,12,,
59,io,1,11,10,,
60,io,1,11,6,,
61,io,1,11,4,,
62,in,1,11,,,
63,vcco_bank_1,,,,,
64,io,1,12,4,,
65,io,1,12,6,,
66,io,1,12,10,,
67,io,1,12,12,,
68,gnd,,,,,
69,io,1,13,2,,
70,io,1,13,6,,
71,io,1,13,10,,
72,io,1,13,12,,
73,in,1,13,,,
74,tdo,,,,,
75,vcc_core,,,,,
76,gnd,,,,,
77,in,1,14,,,
78,io,1,14,12,,
79,io,1,14,10,,
80,io,1,14,6,,
81,io,1,14,2,,
82,gnd,,,,,
83,vcco_bank_1,,,,,
84,io,1,15,12,,
85,io,1,15,10,,
86,io,1,15,6,,
87,io,1,15,2,1,
88,clk,1,15,,,3
89,clk,0,0,,,0
90,vcc_core,,,,,
91,io,0,0,2,0,
92,io,0,0,6,,
93,io,0,0,10,,
94,io,0,0,12,,
95,vcco_bank_0,,,,,
96,gnd,,,,,
97,io,0,1,2,,
98,io,0,1,6,,
99,io,0,1,10,,
100,io,0,1,12,,
