fuse,lc4032ze\clusters\1.jed,lc4032ze\clusters\2.jed,lc4032ze\clusters\3.jed,lc4032ze\clusters\4.jed,lc4032ze\clusters\5.jed,lc4032ze\clusters\6.jed,lc4032ze\clusters\7.jed,lc4032ze\clusters\8.jed,lc4032ze\clusters\9.jed,lc4032ze\clusters\10.jed,lc4032ze\clusters\11.jed,lc4032ze\clusters\12.jed,lc4032ze\clusters\13.jed,lc4032ze\clusters\14.jed,lc4032ze\clusters\15.jed,lc4032ze\clusters\16.jed,lc4032ze\clusters\17.jed,lc4032ze\clusters\18.jed,lc4032ze\clusters\19.jed,lc4032ze\clusters\20.jed,lc4032ze\clusters\21.jed,lc4032ze\clusters\22.jed,lc4032ze\clusters\23.jed,lc4032ze\clusters\24.jed,lc4032ze\clusters\25.jed,lc4032ze\clusters\26.jed,lc4032ze\clusters\27.jed,lc4032ze\clusters\28.jed,lc4032ze\clusters\29.jed,lc4032ze\clusters\30.jed,lc4032ze\clusters\31.jed,lc4032ze\clusters\32.jed,lc4032ze\clusters\33.jed,lc4032ze\clusters\34.jed,lc4032ze\clusters\35.jed,lc4032ze\clusters\36.jed,lc4032ze\clusters\37.jed,lc4032ze\clusters\38.jed,lc4032ze\clusters\39.jed,lc4032ze\clusters\40.jed,lc4032ze\clusters\41.jed,lc4032ze\clusters\42.jed,lc4032ze\clusters\43.jed,lc4032ze\clusters\44.jed,lc4032ze\clusters\45.jed,lc4032ze\clusters\46.jed,lc4032ze\clusters\47.jed,lc4032ze\clusters\48.jed,lc4032ze\clusters\49.jed,lc4032ze\clusters\50.jed,lc4032ze\clusters\51.jed,lc4032ze\clusters\52.jed,lc4032ze\clusters\53.jed,lc4032ze\clusters\54.jed,lc4032ze\clusters\55.jed,lc4032ze\clusters\56.jed,lc4032ze\clusters\57.jed,lc4032ze\clusters\58.jed,lc4032ze\clusters\59.jed,lc4032ze\clusters\60.jed,lc4032ze\clusters\61.jed,lc4032ze\clusters\62.jed,lc4032ze\clusters\63.jed,lc4032ze\clusters\64.jed,lc4032ze\clusters\65.jed,lc4032ze\clusters\66.jed,lc4032ze\clusters\67.jed,lc4032ze\clusters\68.jed,lc4032ze\clusters\69.jed,lc4032ze\clusters\70.jed,lc4032ze\clusters\71.jed,lc4032ze\clusters\72.jed,lc4032ze\clusters\73.jed,lc4032ze\clusters\74.jed,lc4032ze\clusters\75.jed
74:104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
74:124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74:133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74:144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74:153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74:164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75:103,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
75:123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75:133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75:143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75:153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75:163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88:114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88:134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88:154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
